pregão,ano,número,cpf_cnpj,fornecedor,objeto,valor,assinatura,inicio_vigencia,fim_vigencia,
17/2022,2022,89/2022,15.153.524/0001-90,SANIGRAN LTDA,INSUMOS AGROPECUÁRIOS, R$ 46.418,60,29/08/2022,07/10/2022, 07/102023 
17/2022,2022,93/2022,41.278.336/0001-06,A BZ COMERCIO E SERVICOS EIRELI,INSUMOS AGROPECUÁRIOS, R$ 204.450,0,21/09/2022,07/10/2022, 07/102023 
17/2022,2022,92/2022,28.591.670/0001-49,VETSUL COMERCIO DE MEDICAMENTOS EIRELI,INSUMOS AGROPECUÁRIOS, R$ 44.168,50,NÃO CONSTA DATA,07/10/2022, 07/102023 
17/2022,2022,95/2022,03.217.016/0001-49,RPF COMERCIAL LTDA,INSUMOS AGROPECUÁRIOS, R$ 4.735,70,30/08/2022,07/10/2022, 07/102023 
17/2022,2022,86/2022,07.147.983/0001-32,LICITAPREMIUM SERVIÇOS E COMÉRCIO LTDA,INSUMOS AGROPECUÁRIOS, R$ 95.500,0,29/08/2022,07/10/2022, 07/102023 
17/2022,2022,94/2022,83.764.316/0001-87,J F ALVES COMERCIO ATACADISTA DE PRODUTOS AGRICOLAS,INSUMOS AGROPECUÁRIOS, R$ 558.720,0,30/08/2022,07/10/2022, 07/102023 
17/2022,2022,88/2022,11.258.338/0001-64,MERCOSUL AGRONEGOCIOS EIRELI,INSUMOS AGROPECUÁRIOS, R$ 62.500,0,29/08/2022,07/10/2022, 07/102023 
17/2022,2022,87/2022,11.163.447/0001-06,TECA TECNOLOGIA E COMERCIO LTDA,INSUMOS AGROPECUÁRIOS, R$ 257.853,0,30/08/2022,07/10/2022, 07/102023 
17/2022,2022,90/2022,18.158.411/0001-75,HELO PRODUTOS AGROPECUARIOS E SERVIÇOS LTDA-ME,INSUMOS AGROPECUÁRIOS, R$ 39.205,0,05/09/2022,07/10/2022, 07/102023 
42/2022,2022,34/2023,03.541.496/0001-07,"LOBATO
COMERCIO DE PRODUTOS HOSPITALARES
LTDA",MEDICAMENTO HUMANO, R$ 196.231,50,01/03/2023,13/03/2023 ,13/03/2024
42/2022,2022,31/2023,11.888.791/0001-54,"DISTRIBUIDORA FLAMED HOSPITALAR
LTDA",MEDICAMENTO HUMANO, R$ 13.804,0,28/02/2023,13/03/2023 ,13/03/2024
42/2022,2022,29/2023,08.778.201/0001-26, DROGAFONTE LTDA,MEDICAMENTO HUMANO, R$ 106.000,0,28/02/2023,13/03/2023 ,13/03/2024
42/2022,2022,28/2023,01.399.246/0001-40,"GUILBER FARMACEUTICA COMERCIO
LTDA",MEDICAMENTO HUMANO, R$ 10.000,0,01/03/2023,13/03/2023 ,13/03/2024
42/2022,2022,30/2023,10.468.162/0001-02,FARMACEUTICA DISTRIBUIDORA LTDA,MEDICAMENTO HUMANO, R$ 294.231,60,27/02/2023,13/03/2023 ,13/03/2024
42/2022,2022,32/2023,23.312.871/0001-46,"EXEMPLARMED
COMERCIO DE PRODUTOS HOSPITALARES LTDA",MEDICAMENTO HUMANO, R$ 4.345,0,01/03/2023,13/03/2023 ,13/03/2024
42/2022,2022,35/2023,44.734.671/0001-51,"A CRISTALIA PRODUTOS QUIMICOS
FARMACEUTICOS LTDA",MEDICAMENTO HUMANO, R$ 232.378,0,27/02/2023,13/03/2023 ,13/03/2024
42/2022,2022,33/2023,29.043.834/0001-66,"3MED DISTRIBUIDORA DE
MEDICAMENTOS LTDA",MEDICAMENTO HUMANO, R$ 32.948,10,02/02/2023,13/03/2023 ,13/03/2024
39/2022,2022,24/2023,35.534.016/0001-69,RENATO MACHADO PINTO-ME,MEDICAMENTO VETERINÁRIO, R$ 35.310,0,07/02/2023,24/02/2023,24/02/2024
39/2022,2022,19/2023,03.541.496/0001-07,"CESAR & ROCHA COMERCIO DE
PRODUTOS AGROPECUARIOS LTDA",MEDICAMENTO VETERINÁRIO, R$ 600.075,0,07/02/2023,24/02/2023,24/02/2024
39/2022,2022,21/2023,08.563.964/0001-50,"AGROVET SUL
SERVICOS E COMERCIO DE EQUIPAMENTOS LTDA",MEDICAMENTO VETERINÁRIO, R$ 54.375,0,07/02/2023,24/02/2023,24/02/2024
39/2022,2022,20/2023,07.296.219/0001-29,E.R FELIX - PROD AGROP,MEDICAMENTO VETERINÁRIO, R$ 24.150,0,NÃO CONSTA DATA,24/02/2023,24/02/2024
39/2022,2022,25/2023,38.457.380/0001-60,MATOS MEDICAMENTOS LTDA,MEDICAMENTO VETERINÁRIO, R$ 5.436,0,07/02/2023,24/02/2023,24/02/2024
39/2022,2022,22/2023,28.591.670/0001-49,"VETSUL COMERCIO DE
MEDICAMENTOS LTDA",MEDICAMENTO VETERINÁRIO, R$ 5.544,0,NÃO CONSTA DATA,24/02/2023,24/02/2024
39/2022,2022,23/2023,34.577.439/0001-01,"BRASIL SHOPPING
LTDA",MEDICAMENTO VETERINÁRIO, R$ 35.935,0,07/02/2023,24/02/2023,24/02/2024
39/2022,2022,21/2023,08.563.964/0001-50,AGROVET SUL SERVICOS E COMERCIO DE EQUIPAMENTOS LTDA,MEDICAMENTO VETERINÁRIO, R$ 54.375,0,07/02/2023,24/02/2023,24/02/2024
20/2022,2022,109/2022,46.536.739/0001-13,PIXTEC COMERCIO E TECNOLOGIA LTDA,PERIFÉRICOS DE INFORMÁTICA, R$ 22.990,0,08/11/2022,não informado,não informado
20/2022,2022,104/2022,11.195.926/0001-04,BERGAMO & CAVALCANTE INFORMATICA LTDA,PERIFÉRICOS DE INFORMÁTICA, R$ 163.920,0,09/11/2022,não informado,não informado
20/2022,2022,105/2022,16.914.974/0001-10,INFORTECH COMÉRCIO E SERVIÇOS DE INFORMÁTICA EIRELI,PERIFÉRICOS DE INFORMÁTICA, R$ 12.000,0,09/11/2022,não informado,não informado
20/2022,2022,106/2022,34.657.550/0001-08,G C E SILVA COMERCIO DE INFORMATICA,PERIFÉRICOS DE INFORMÁTICA, R$ 8.400,0,08/11/2022,não informado,não informado
20/2022,2022,107/2022,36.327.259/0001-99,E G DE MELO DE SOUZA LTDA,PERIFÉRICOS DE INFORMÁTICA, R$ 6.800,0,09/11/2022,não informado,não informado
20/2022,2022,108/2022,36.336.388/0001-43,REGINA CELIA CUNHA DE SOUSA,PERIFÉRICOS DE INFORMÁTICA, R$ 294,0,08/11/2022,não informado,não informado
32/2022,2022,01/2023,07.944.100/0001-15,PROC9 INDÚSTRIA QUIMÍCA LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 17.240,0,11/01/2023,08/02/2023,08/02/2024
32/2022,2022,02/2023,08.347.008/0001-30,FERMASIL COMERCIO LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 48.170,0,20/01/2023,08/02/2023,08/02/2024
32/2022,2022,03/2023,10.468.162/0001-02,FARMACEUTICA DISTRIBUIDORA LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 13.440,0,12/01/2023,08/02/2023,08/02/2024
32/2022,2022,04/2023,19.026.964/0001-37,ILMA CHAVES PEREIRA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 202.188,0,11/01/2023,08/02/2023,08/02/2024
32/2022,2022,05/2023, 19.785.718/0001-69,L. N. RODRIGUES DISTRIBUIDORA DE PRODUTOS ORTOPÉDICOS LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 45.378,0,16/01/2023,08/02/2023,08/02/2024
32/2022,2022,06/2023,34.577.439/0001-01,BRASIL SHOPPING LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 940,0,18/01/2023,08/02/2023,08/02/2024
32/2022,2022,07/2023,40.949.490/0001-91,A L F SILVA & CIA LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 17.064,0,NÃO CONSTA DATA,08/02/2023,08/02/2024
32/2022,2022,08/2023,41.391.445/0001-27,EXITO SOLUCOES DE SERVICOS E COMERCIO LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 83.565,0,19/01/2023,08/02/2023,08/02/2024
32/2022,2022,09/2023,44.219.136/0001-62,ATLAS EQUIPAMENTOS LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 8.844,0,12/01/2023,08/02/2023,08/02/2024
32/2022,2022,10/2023,45.838.204/0001-34,MEDPRIME DISTRIBUIDORA DE MEDICAMENTOS E INSUMOS HOSPITALARES LTDA,MATERIAL LABORATORIAL E MÉDICO HOSPITLAR, R$ 14.598,0,NÃO CONSTA DATA,08/02/2023,08/02/2024
06/2023,2023,59/2023,10.468.162/0001-02,FARMACEUTICA DISTRIBUIDORA LTDA,MEDICAMENTO HUMANO, R$ 29.555,0,20/06/2023,21/08/2023,21/08/2024
06/2023,2023,60/2023,23.420.875/0001-48,M. VALENCIA - PRODUTOS HOSPITALARES,MEDICAMENTO HUMANO, R$ 27.017,60,20/06/2023,21/08/2023,21/08/2024
06/2023,2023,61/2023,34.875.727/0001-34,LOBATO COMERCIO DE PRODUTOS HOSPITALARES,MEDICAMENTO HUMANO, R$ 85.100,40,20/06/2023,21/08/2023,21/08/2024
06/2023,2023,62/2023,40.274.237/0001-85,CLM FARMA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA,MEDICAMENTO HUMANO, R$ 38.752,50,26/06/2023,21/08/2023,21/08/2024
